Timesteps,Mean Reward,Std Reward,score,steps,CollectOneMonitor.CollectOne,CollectPermMonitor.CollectPerm,DrainMonitor.Drain,NoCollectMonitor.NoCollect,RescueMonitor.Rescue
0,-92.5,42.64680527307995,7.5,1000.0,0.72,0.0,0.0,0.37,0.0
5000,-82.5,63.78675411086537,17.5,1000.0,0.71,0.0,0.06,0.35,0.06
10000,73.961,145.1899066016643,157.85,842.59,0.57,0.13,0.51,0.57,0.44
15000,172.03000000000003,129.943755910009,235.85,647.0,0.52,0.2,0.39,0.61,0.32
20000,242.34199999999998,78.73199245541802,283.1,421.88,0.38,0.31,0.88,0.9,0.59
25000,244.91,145.57027478163255,291.4,332.8,0.34,0.17,0.91,0.91,0.63
30000,240.58100000000002,87.0981408469779,278.7,394.69,0.42,0.15,0.72,0.79,0.49
35000,264.631,36.31546693903302,297.85,279.39,0.34,0.1,0.73,0.9,0.51
40000,252.34000000000003,141.89762859188312,296.35,256.1,0.18,0.19,0.97,1.11,0.63
45000,275.3860000000001,19.79815152987773,300.0,232.84,0.22,0.17,0.89,1.09,0.52
50000,274.823,15.969876987628929,300.0,226.37,0.38,0.21,0.83,0.8,0.58
55000,273.80100000000004,24.630069001121377,300.0,232.69,0.33,0.2,0.8,0.96,0.51
60000,276.418,22.151091982112302,298.8,232.32,0.26,0.24,0.87,0.93,0.5
65000,275.753,15.710954490418459,300.0,230.57,0.23,0.26,0.91,1.05,0.53
70000,176.26399999999998,141.9712629513452,228.2,514.76,0.45,0.15,0.61,0.76,0.4
75000,258.74899999999997,74.99770729162326,287.0,275.01,0.31,0.2,1.05,0.89,0.8
80000,274.55300000000005,31.979679344858976,297.15,238.97,0.32,0.15,0.94,1.02,0.64
85000,276.175,10.640548623073908,300.0,225.25,0.31,0.27,0.66,0.9,0.43
90000,268.967,46.641764664300595,294.55,252.83,0.27,0.2,0.84,0.97,0.55
95000,273.55699999999996,35.120325325941955,296.9,240.53,0.27,0.27,0.92,1.05,0.63
100000,163.46099999999998,314.6713100665518,263.65,352.29,0.4,0.16,0.69,0.89,0.44
