Timesteps,Mean Reward,Std Reward,ConditionalVeganMonitor.ConditionalVegan,HungryMonitor.Hungr,HungryVeganMonitor.Hungr,HungryVeganMonitor.VegetarianBlue,HungryVeganMonitor.VegetarianOrange,HungryVeganPenaltyMonitor.CTD Violations,HungryVeganPenaltyMonitor.Hungr,HungryVeganPenaltyMonitor.VegetarianBlue,HungryVeganPenaltyMonitor.VegetarianOrange,HungryVegetarianMonitor.Hungr,HungryVegetarianMonitor.VegetarianOrange,PenaltyMonitor.CTD,PenaltyMonitor.Penalty(total),VeganMonitor.Vegan,VeganPreferenceMonitor.VegetarianBlue,VeganPreferenceMonitor.VegetarianOrange,VegetarianBlueMonitor.VegetarianBlue,VegetarianOrangeMonitor.VegetarianOrange
0,-4.87198,0.6878369571344651,0.0,0.979,0.979,0.0,0.0,0.0,0.979,0.0,0.0,0.979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000,11.409740000000001,5.402253930758901,0.989,0.852,0.852,1.078,1.134,2.163,0.852,1.078,1.134,0.852,1.134,2.139,4.351,2.212,1.078,1.134,1.078,1.134
500000,13.268810000000002,4.97663509651853,1.428,0.691,0.691,1.401,1.519,2.856,0.691,1.401,1.519,0.691,1.519,2.798,5.718,2.92,1.401,1.519,1.401,1.519
750000,14.416129999999999,4.8869047998810045,1.523,0.663,0.663,1.57,1.504,2.999,0.663,1.57,1.504,0.663,1.504,2.924,5.998,3.074,1.57,1.504,1.57,1.504
1000000,14.806299999999998,4.149604500431336,1.482,0.87,0.87,1.548,1.552,3.038,0.87,1.548,1.552,0.87,1.552,2.987,6.087,3.1,1.548,1.552,1.548,1.552
1250000,14.49435,4.783702893941053,1.644,0.749,0.749,1.627,1.525,3.074,0.749,1.627,1.525,0.749,1.525,3.016,6.168,3.152,1.627,1.525,1.627,1.525
1500000,14.619200000000001,4.959786483307522,1.637,0.657,0.657,1.614,1.637,3.17,0.657,1.614,1.637,0.657,1.637,3.096,6.347,3.251,1.614,1.637,1.614,1.637
1750000,15.011479999999999,4.330237592742458,1.629,0.741,0.741,1.647,1.681,3.264,0.741,1.647,1.681,0.741,1.681,3.17,6.498,3.328,1.647,1.681,1.647,1.681
2000000,15.13926,4.0098378336785645,1.57,0.719,0.719,1.652,1.656,3.24,0.719,1.652,1.656,0.719,1.656,3.182,6.49,3.308,1.652,1.656,1.652,1.656
2250000,14.04355,5.782955273690088,1.592,0.667,0.667,1.657,1.623,3.202,0.667,1.657,1.623,0.667,1.623,3.108,6.388,3.28,1.657,1.623,1.657,1.623
2500000,14.73558,4.932448343733566,1.711,0.662,0.662,1.701,1.707,3.321,0.662,1.701,1.707,0.662,1.707,3.255,6.663,3.408,1.701,1.707,1.701,1.707
2750000,14.008849999999999,5.2632260047902175,1.771,0.688,0.688,1.647,1.648,3.221,0.688,1.647,1.648,0.688,1.648,3.116,6.411,3.295,1.647,1.648,1.647,1.648
3000000,14.60487,5.113345400332349,1.857,0.684,0.684,1.794,1.776,3.5,0.684,1.794,1.776,0.684,1.776,3.371,6.941,3.57,1.794,1.776,1.794,1.776
3250000,14.874870000000001,4.905471779869903,1.791,0.7,0.7,1.767,1.792,3.491,0.7,1.767,1.792,0.7,1.792,3.371,6.93,3.559,1.767,1.792,1.767,1.792
3500000,13.69141,5.949418182637694,1.653,0.74,0.74,1.702,1.701,3.311,0.74,1.702,1.701,0.74,1.701,3.172,6.575,3.403,1.702,1.701,1.702,1.701
3750000,14.68583,4.7517181009714795,1.697,0.684,0.684,1.665,1.756,3.339,0.684,1.665,1.756,0.684,1.756,3.232,6.653,3.421,1.665,1.756,1.665,1.756
4000000,14.821549999999998,4.917469826801177,1.786,0.686,0.686,1.753,1.786,3.461,0.686,1.753,1.786,0.686,1.786,3.326,6.865,3.539,1.753,1.786,1.753,1.786
4250000,14.257399999999997,5.231532207680652,1.781,0.649,0.649,1.749,1.782,3.416,0.649,1.749,1.782,0.649,1.782,3.253,6.784,3.531,1.749,1.782,1.749,1.782
4500000,14.342360000000001,5.2594666678666195,1.696,0.66,0.66,1.765,1.743,3.429,0.66,1.765,1.743,0.66,1.743,3.266,6.774,3.508,1.765,1.743,1.765,1.743
4750000,14.956850000000001,4.813192140097879,1.821,0.647,0.647,1.848,1.854,3.599,0.647,1.848,1.854,0.647,1.854,3.495,7.197,3.702,1.848,1.854,1.848,1.854
5000000,14.853140000000002,4.885685104506838,1.826,0.683,0.683,1.83,1.868,3.603,0.683,1.83,1.868,0.683,1.868,3.445,7.143,3.698,1.83,1.868,1.83,1.868
